SB71,6/11/2012,71.8744,72.2279,0,71.2834,10341000
ABBANK,6/11/2012,43.6,44,43.2,43.6,181750
ACI,6/11/2012,174,174,170.2,172.9,2050
ACIFORMULA,6/11/2012,87.4,87.4,82.8,83.4,30500
ACTIVEFINE,6/11/2012,60.8,60.8,58.4,59.7,94000
AFTABAUTO,6/11/2012,140.5,141.1,138.1,140.6,128650
AGNISYSL,6/11/2012,26.7,27.2,26.3,27,83000
AGRANINS,6/11/2012,32.3,32.9,32.3,32.7,8000
AL-HAJTEX,6/11/2012,29.2,30.2,28.8,29.6,11950
ALARABANK,6/11/2012,27.2,27.5,26.9,27.2,316000
AMBEEPHA,6/11/2012,272,272,270.4,270.6,550
AMCL(PRAN),6/11/2012,129.9,129.9,123,126.3,1200
ANLIMAYARN,6/11/2012,21.8,22,21.5,21.9,46500
APEXFOOT,6/11/2012,270,270,250,256.6,3400
APEXFOODS,6/11/2012,66.5,66.5,63.8,64.7,1500
APEXSPINN,6/11/2012,74.1,76,74,74.7,1800
APEXTANRY,6/11/2012,103.5,104.5,103.5,104.1,3700
ARAMIT,6/11/2012,248.2,255,248.2,249.3,300
ARAMITCEM,6/11/2012,85.2,88.8,85.2,86.7,2000
ASIAINS,6/11/2012,40.5,41,39.8,40.7,39000
ASIAPACINS,6/11/2012,33.2,33.2,32.4,32.9,24000
ATLASBANG,6/11/2012,195,195,188.5,191.7,5900
BANGAS,6/11/2012,121.1,123.5,118,121,2400
BANKASIA,6/11/2012,25,25.9,24.9,25.6,32000
BATASHOE,6/11/2012,480,480,480,480,100
BATBC,6/11/2012,588,591,588,590.1,900
BAYLEASING,6/11/2012,48.6,48.6,47,47.6,84000
BDFINANCE,6/11/2012,44.1,45.7,42.6,44.9,67200
BDLAMPS,6/11/2012,135.7,140,133.9,139.5,24050
BDWELDING,6/11/2012,28.2,28.6,27.8,28.1,87000
BEACHHATCH,6/11/2012,26.9,26.9,26,26.6,64500
BARKAPOWER,6/11/2012,45.2,45.7,44.4,45.3,267400
BERGERPBL,6/11/2012,514.5,519,510,513.3,200
BEXIMCO,6/11/2012,90.5,91.5,89.7,90.6,265500
BGIC,6/11/2012,33.6,33.9,33.3,33.5,46000
BIFC,6/11/2012,38.3,41.9,37.7,40.5,114000
BRACBANK,6/11/2012,32.2,32.4,32,32.1,101000
BSC,6/11/2012,315.25,318,309,312.25,13260
BSRMSTEEL,6/11/2012,84,86,84,85.5,111500
BXPHARMA,6/11/2012,63.2,63.2,62.1,62.6,58500
BXSYNTH,6/11/2012,26.5,26.7,25.7,26.3,181200
CENTRALINS,6/11/2012,39.1,40.9,39,39.9,11200
CITYBANK,6/11/2012,35.5,35.8,35.2,35.5,314400
CITYGENINS,6/11/2012,29.5,29.7,29.1,29.4,29300
CMCKAMAL,6/11/2012,25.1,25.9,25.1,25.5,153200
